和风天气中国城市列表 v1.3

城市/地区编码	英文	中文	国家代码	国家英文	国家中文	省英文	省中文	所属上级市英文	所属上级市中文	纬度	经度
CN101060109	kuancheng	宽城	CN	China	中国	jilin	吉林	changchun	长春	43.903823	125.342828
CN101060110	chaoyang	朝阳	CN	China	中国	jilin	吉林	changchun	长春	43.86491	125.318042
CN101060111	lvyuan	绿园	CN	China	中国	jilin	吉林	changchun	长春	43.892177	125.272467
CN101060201	jilin	吉林	CN	China	中国	jilin	吉林	jilin	吉林	43.843577	126.55302
CN101060202	shulan	舒兰	CN	China	中国	jilin	吉林	jilin	吉林	44.410906	126.947813
CN101060203	yongji	永吉	CN	China	中国	jilin	吉林	jilin	吉林	43.667416	126.501622
CN101060204	jiaohe	蛟河	CN	China	中国	jilin	吉林	jilin	吉林	43.720579	127.342739
CN101060205	panshi	磐石	CN	China	中国	jilin	吉林	jilin	吉林	42.942476	126.059929
CN101060206	huadian	桦甸	CN	China	中国	jilin	吉林	jilin	吉林	42.972093	126.745445
CN101060207	changyi	昌邑	CN	China	中国	jilin	吉林	jilin	吉林	43.851118	126.570766
CN101060208	longtan	龙潭	CN	China	中国	jilin	吉林	jilin	吉林	43.909755	126.561429
CN101060209	chuanying	船营	CN	China	中国	jilin	吉林	jilin	吉林	43.843804	126.55239
CN101060210	fengman	丰满	CN	China	中国	jilin	吉林	jilin	吉林	43.816594	126.560759
CN101060301	yanji	延吉	CN	China	中国	jilin	吉林	yanbian	延边	42.906964	129.51579
CN101060302	dunhua	敦化	CN	China	中国	jilin	吉林	yanbian	延边	43.366921	128.22986
